decision_rank,decision,status,model_id,candidate_name,ready_for_paper,ready_for_real,real_money_execution,validation_return,train_return,locked_oos_return,train_trade_event_count,validation_trade_event_count,locked_oos_trade_event_count,replay_live_notional_parity,rejection_reasons
1,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.08897474255677351,0.427971977575732,-0.006058989201550791,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
2,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.08897474255677351,0.427971977575732,-0.006058989201550791,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
3,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.07572443448626331,0.4548121710643429,-0.0022533146249008595,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
4,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.07572443448626331,0.4548121710643429,-0.0022533146249008595,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
5,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_6p0x_0p175alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.27384367402254894,0.045832420459388734,-0.042506741781909496,476,103,56,True,train_validation_return_ratio_0.1674_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
6,no_promotion,reject_or_quarantine,fresh_tv10_filter_abs_score_ge_1p5_alpha_zoo_conservative_exit_6p0x_0p175alloc,alpha_zoo_conservative_exit,False,False,False,0.27384367402254894,0.045832420459388734,-0.042506741781909496,476,103,56,True,train_validation_return_ratio_0.1674_below_0.50;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
7,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.08474392125079433,0.40576842790572965,-0.0057667602440657495,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
8,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_2p5_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.08474392125079433,0.40576842790572965,-0.0057667602440657495,63,14,5,True,train_trade_event_count_63_below_80;validation_trade_event_count_14_below_30;locked_oos_trade_event_count_5_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
9,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_carry_forward_old_split_selected_5p0x_0p2alloc,alpha_zoo_conservative_exit_carry_forward_old_split_selected,False,False,False,0.072127109959772,0.43015622229658024,-0.0021460139284770197,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
10,no_promotion,shadow_only_thin_sample,fresh_tv10_filter_abs_score_ge_3_alpha_zoo_conservative_exit_5p0x_0p2alloc,alpha_zoo_conservative_exit,False,False,False,0.072127109959772,0.43015622229658024,-0.0021460139284770197,42,8,1,True,train_trade_event_count_42_below_80;validation_trade_event_count_8_below_30;locked_oos_trade_event_count_1_below_20;locked_oos_return_not_positive;primary_10bps_promotion_gate_failed
